0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-276.87554931640625,193.39508056640625,-24.06173324584961,27.905359268188477,22.241989135742188,9.265003204345703,-12.047473907470703,7.659360408782959,-0.945068359375,-9.31457805633545,0.6682971119880676,-3.8224503993988037,976.0350952148438,0.045900698061342594,951.5724498442501,1087.468640891786
-290.954833984375,109.9690933227539,-25.343257904052734,47.27714538574219,-9.896617889404297,14.831459045410156,-28.265981674194336,14.74665641784668,-11.353227615356445,-0.6886788010597229,-0.24745912849903107,-5.69997501373291,1297.7655029296875,0.10329635054976852,1992.188488868169,1819.438316911717
-295.3173828125,127.76830291748047,-20.033226013183594,49.860740661621094,-14.70062255859375,22.041248321533203,-27.477935791015625,-4.750094890594482,-14.541481971740723,-9.266364097595215,-8.396982192993164,-16.582305908203125,1080.441162109375,0.09351140802556818,1727.1775341761802,1719.79115623538
-329.8505859375,171.3355712890625,-12.536030769348145,53.442684173583984,10.621955871582031,-0.009410480968654156,-12.838312149047852,-5.447348594665527,-4.162975311279297,6.582019805908203,-5.5839924812316895,-4.484856128692627,1285.566650390625,0.06237390539148352,1185.835358025384,1221.9472240744224
-214.9091796875,124.38178253173828,-52.18423080444336,63.175296783447266,-29.829675674438477,20.4321231842041,-25.953617095947266,6.685812950134277,-5.312376022338867,-5.886185646057129,-1.5426650047302246,-7.409381866455078,1673.2890625,0.14847104604007633,2194.400815860678,1659.0853844832425
-361.5555114746094,140.46641540527344,-15.715250968933105,27.47568702697754,-7.190274238586426,-8.442137718200684,-14.93429183959961,-6.850946426391602,-1.3365569114685059,-3.6924757957458496,-0.24963101744651794,-2.7984981536865234,1259.0933837890625,0.07957544866597878,1413.8085901263414,1381.181756921466
-395.2561950683594,111.8388671875,-62.27962875366211,12.482804298400879,-24.315214157104492,-4.057873249053955,-20.873966217041016,1.9120862483978271,-11.06583309173584,-6.745028495788574,-9.009353637695312,-15.498419761657715,1605.853271484375,0.15103182949862637,2132.9058257696365,1527.764837169098
-354.52911376953125,142.99948120117188,-20.3997802734375,21.838945388793945,-11.55979061126709,-2.9686317443847656,-10.417500495910645,-9.362567901611328,-3.438554286956787,-4.233585834503174,1.1886072158813477,-3.1801598072052,1073.0245361328125,0.07951705648291925,1397.7160775876428,1357.2973854863214
-390.0505676269531,146.97975158691406,-30.240341186523438,-5.491305828094482,-19.056669235229492,-6.083315372467041,-25.823984146118164,2.1747543811798096,-17.08827018737793,2.3135552406311035,-7.504770755767822,-5.29779577255249,1066.4931640625,0.10733907418952618,1581.4407978566242,1417.04623278306
-377.4394226074219,152.62081909179688,-18.82767677307129,56.74427032470703,-3.5446362495422363,20.78184700012207,-18.360597610473633,19.061058044433594,-6.89528751373291,-5.247248649597168,-5.009530067443848,-8.8046875,777.5882568359375,0.045196533203125,1291.9742936947307,1563.856987901777
-223.94337463378906,164.8535919189453,-30.401409149169922,28.132354736328125,-13.861669540405273,3.991997241973877,-14.431217193603516,-1.458889126777649,-8.708635330200195,-4.290494918823242,-2.120006561279297,-5.675502777099609,1010.2607421875,0.06675047311723603,1270.4546403697032,1357.289537078056
