id,interval_start,interval_end,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
--qXJuDtHPw,23.199,30.325,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,82.753,100.555,1.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
-3g5yACwYnA,119.919,125.299,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,4.84,14.052,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
-3g5yACwYnA,13.211,27.521,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-3g5yACwYnA,26.541,41.3,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,74.083,82.776,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.33333334
-3nNcZdcdvU,0.0,9.213,0.33333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,12.014,20.098,1.0,2.3333333,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,36.399,44.173,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,0.0,4.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,21.842,28.309,-0.6666667,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-571d8cVauQ,69.893,85.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-6rXp3zJ3kc,14.468,22.882,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0
-6rXp3zJ3kc,45.428,58.151,-1.0,0.0,0.33333334,0.0,0.0,0.0,0.0
-6rXp3zJ3kc,58.109,71.96,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0
-9YyBTjo1zo,-0.457596371882,1.77959183673,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-9YyBTjo1zo,0.81950113379,5.96009070295,-1.0,0.0,0.0,0.33333334,0.0,0.0,0.0
-9YyBTjo1zo,5.97777777778,22.6721088435,2.0,2.6666667,0.0,0.0,0.33333334,0.0,0.0
-9YyBTjo1zo,32.8167800454,42.9959183673,-0.33333334,0.33333334,0.0,0.33333334,0.0,0.6666667,0.0
-9YyBTjo1zo,42.853968254,47.7850340136,-1.6666666,1.0,0.0,0.0,0.33333334,1.0,0.0
-9y-fZ3swSY,0.0,6.748,1.0,1.3333334,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY,5.988,12.096,1.3333334,1.0,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY,11.475,15.898,0.33333334,1.3333334,0.0,0.0,0.33333334,0.0,0.0
-9y-fZ3swSY,16.055,22.832,1.3333334,1.0,0.0,0.33333334,1.0,0.0,0.0
-9y-fZ3swSY,23.179,25.825,0.0,0.33333334,0.6666667,0.0,0.0,0.0,0.0
-9y-fZ3swSY,37.077,43.026,-0.33333334,0.33333334,0.0,1.0,0.0,0.0,0.0
-9y-fZ3swSY,42.475,48.214,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY,47.444,52.345,1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-AUZQgSxyPQ,13.122,35.513,0.6666667,0.0,0.0,0.0,0.0,0.0,0.6666667
-Alixo7euuU,0.0124716553288,5.14081632653,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU,5.14081632653,12.4641723356,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,79.1426303855,87.543537415,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,115.739455782,119.810204082,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,120.488662132,130.346258503,-0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,133.259637188,140.912244898,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.33333334
-Alixo7euuU,12.4641723356,21.2741496599,0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,141.041950113,153.653287982,-0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334
-Alixo7euuU,167.312244898,182.238321995,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.33333334
-Alixo7euuU,184.982086168,189.950793651,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.6666667
-Alixo7euuU,190.270068027,197.114512472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,198.301814059,213.866439909,0.33333334,1.0,0.33333334,0.0,0.0,0.33333334,0.0
-Alixo7euuU,223.554421769,228.303628118,1.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,36.2600907029,41.7476190476,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.0
-Eqdz5y4pEY,21.5734693878,28.3480725624,-0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc,7.764,16.905,1.3333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc,15.905,24.049,0.6666667,1.3333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc,34.224,44.083,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc,71.998,78.815,-0.6666667,0.6666667,0.0,0.33333334,0.0,0.6666667,0.0
-HvKLjmsO5U,11.9154195011,20.7653061224,1.3333334,0.33333334,0.0,0.0,0.0,0.0,0.33333334
-HvKLjmsO5U,21.2342403628,31.9399092971,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,0.0,2.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,2.146,11.318,-0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,10.318,14.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,13.92,20.118,0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.0
-HwX2H8Z4hY,19.866,26.214,-2.0,0.0,0.6666667,0.0,0.0,0.6666667,0.0
-HwX2H8Z4hY,27.08,32.61,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,32.108,35.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,35.441,42.806,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,43.093,49.551,-1.6666666,0.0,0.0,0.6666667,0.0,0.6666667,0.0
-HwX2H8Z4hY,49.299,56.934,-0.33333334,0.0,0.0,0.33333334,0.0,0.0,1.0
-IUUR2yyNbw,7.22607709751,25.4047619048,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-IUUR2yyNbw,114.861451247,126.445124717,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334
-IUUR2yyNbw,142.857823129,149.861904762,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-IUUR2yyNbw,32.7081632653,42.446031746,0.33333334,0.0,0.6666667,0.0,0.0,0.0,0.0
-IUUR2yyNbw,66.531292517,69.753968254,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-I_e4mIh0yE,3.144,10.57,-0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-I_e4mIh0yE,16.803,25.785,0.6666667,0.0,0.0,0.0,0.0,0.0,1.0
-I_e4mIh0yE,25.154,47.097,-0.6666667,0.33333334,0.6666667,0.0,0.0,0.33333334,0.33333334
-IqSFQePnpU,0.0124716553288,17.2931972789,0.0,0.0,0.33333334,0.0,0.6666667,0.0,1.0
-KCahx2qBOI,86.5857142857,94.6174603175,-0.33333334,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0
-KCahx2qBOI,44.9702947846,51.9943310658,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0
-KCahx2qBOI,79.880952381,86.1866213152,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0
-LnuDPiuuZw,0.0124716553288,5.30045351474,0.33333334,0.6666667,0.0,0.6666667,0.0,0.0,0.0
-LnuDPiuuZw,6.23832199546,14.8387755102,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
